topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1359350943356174337	http://twitter.com/user/status/1359350943356174337	India's gift of 100,000 COVID-19 vaccines arrived Barbados earlier today. This was a very special moment for all Barbadians and I want to thank Prime Minister Modi for his quick, decisive, and magnanimous action in allowing us to be the beneficiary of these vaccines. https://t.co/cSCb40c2mt	no_not_interesting
COVID-19	1370008076489789440	http://twitter.com/user/status/1370008076489789440	As part of the ongoing nationwide vaccination rollout that has seen more than 230,000 people vaccinated, President Kagame and First Lady Jeannette Kagame received their #COVID-19 vaccines at King Faisal Hospital. https://t.co/OylatTad9W	no_not_interesting
COVID-19	1367726730044207104	http://twitter.com/user/status/1367726730044207104	Pleased to receive 50,000 doses of Covid-19 vaccines from India 🇮🇳this morning. Govt of Rwanda 🇷🇼 is grateful to the Govt of India 🇮🇳 and other partner countries for their valuable contribution to the fight against #COVID19 @DrSJaishankar	no_not_interesting
COVID-19	1370003879455297540	http://twitter.com/user/status/1370003879455297540	America has always been at its best when we are looking out for one another and pulling together in common cause. Now, with the development of safe and effective COVID-19 vaccines, we have the chance to rise to the moment again. https://t.co/rbuQstkH9R	no_not_interesting
COVID-19	1367232803071422464	http://twitter.com/user/status/1367232803071422464	Dear Moms: For the love of God and family, do NOT let anyone jab your babies with the experimental COVID-19 vaccines. https://t.co/0LIZf4drgq	harmful
COVID-19	1368585187500691461	http://twitter.com/user/status/1368585187500691461	WSJ: All three of Russia's main intelligence services (SVR, FSB, and GRU) ran fake news sites and phony social media accounts to spread misinformation about Pfeizer and Moderna vaccines in an attempt to undermine confidence in them. https://t.co/t3kmCYvBFs via @WSJ	harmful
COVID-19	1365324501475594243	http://twitter.com/user/status/1365324501475594243	“Action can be taken now to ensure that Canada can produce its own vaccines without the need to solely rely on international partners.” @Mossmanlab makes the case for @MacGlobalNexus Fitzhenry Vector Lab to produce COVID-19 vaccine doses for all Canadians. https://t.co/J3Nvb5faq6	no_not_interesting
COVID-19	1350907284575043584	http://twitter.com/user/status/1350907284575043584	Those who falsely claim Vaccines are 100% safe and who laugh at anti-vaxxers will be dependent on those who refuse to tell the official lies to say that wide-spread vaccination *is* critical. 23 die in Norway after receiving COVID-19 vaccine: https://t.co/eN10HwZvqW via @nypost	harmful
COVID-19	1369770494703116296	http://twitter.com/user/status/1369770494703116296	Should all such evidence not be available, we demand that approval for use of the gene-based vaccines be withdrawn until all the above issues have been properly addressed by the exercise of due diligence by the EMA https://t.co/lgznoGXjBc	yes_calls_for_action
COVID-19	1367517694279393282	http://twitter.com/user/status/1367517694279393282	The EU and Italy have blocked AstraZeneca’s COVID-19 vaccine shipment destined for Australia after the drug manufacturer failed to deliver the doses it promised Europe. https://t.co/GEMOlMwhkW	no_not_interesting
